add_ds_card,mult_ds_card,count
1,1,1
3,3,13
5,6,6
6,5,1
6,6,96
7,10,1
8,10,7
9,9,2
9,10,147
9,15,3
10,9,10
10,10,434
10,14,1
10,15,3
11,14,1
11,15,16
11,21,2
12,13,1
12,14,13
12,15,164
12,21,2
13,14,29
13,15,310
13,19,1
13,21,9
13,28,2
14,12,2
14,14,86
14,15,1269
14,20,3
14,21,19
14,26,1
14,27,1
14,28,2
15,13,1
15,14,51
15,15,672
15,20,21
15,21,165
15,27,4
15,28,9
16,18,2
16,19,1
16,20,31
16,21,232
16,25,2
16,26,1
16,27,8
16,28,15
16,30,1
16,35,1
16,36,1
17,18,2
17,19,6
17,20,109
17,21,818
17,25,1
17,26,4
17,27,12
17,28,29
17,36,10
17,43,1
18,15,1
18,18,16
18,19,11
18,20,313
18,21,1974
18,23,1
18,24,2
18,25,3
18,26,6
18,27,60
18,28,140
18,34,1
18,35,6
18,36,11
18,42,1
18,43,1
18,44,1
19,18,12
19,19,8
19,20,416
19,21,2632
19,23,1
19,24,1
19,25,4
19,26,16
19,27,97
19,28,262
19,33,4
19,34,3
19,35,13
19,36,32
19,40,1
19,41,1
19,44,7
19,45,2
19,53,1
20,18,16
20,19,6
20,20,346
20,21,1872
20,22,1
20,23,2
20,25,36
20,26,14
20,27,221
20,28,663
20,32,1
20,33,2
20,34,7
20,35,29
20,36,43
20,41,2
20,42,1
20,43,1
20,44,10
20,45,6
21,18,2
21,20,30
21,21,154
21,23,3
21,24,3
21,25,24
21,26,37
21,27,423
21,28,1322
21,31,3
21,32,2
21,33,8
21,34,16
21,35,63
21,36,151
21,37,3
21,40,3
21,41,4
21,42,6
21,43,7
21,44,5
21,45,27
21,51,1
21,53,2
21,54,4
21,55,2
22,23,4
22,24,5
22,25,81
22,26,93
22,27,921
22,28,2795
22,30,1
22,31,1
22,32,1
22,33,19
22,34,14
22,35,146
22,36,291
22,37,2
22,39,1
22,40,3
22,41,8
22,42,7
22,43,10
22,44,41
22,45,30
22,51,1
22,52,1
22,53,2
22,54,8
22,55,8
22,61,1
22,64,1
23,22,4
23,23,4
23,24,3
23,25,104
23,26,116
23,27,1328
23,28,3931
23,30,3
23,31,6
23,32,9
23,33,43
23,34,48
23,35,418
23,36,661
23,37,1
23,38,1
23,39,3
23,40,5
23,41,8
23,42,20
23,43,24
23,44,73
23,45,76
23,47,1
23,49,1
23,51,3
23,52,4
23,53,6
23,54,21
23,55,11
23,56,1
23,62,1
23,63,3
23,64,1
23,65,5
24,22,4
24,23,5
24,24,12
24,25,133
24,26,138
24,27,1702
24,28,4878
24,29,1
24,30,7
24,31,10
24,32,14
24,33,124
24,34,111
24,35,662
24,36,1241
24,37,2
24,38,4
24,39,2
24,40,4
24,41,15
24,42,31
24,43,59
24,44,175
24,45,166
24,47,1
24,48,1
24,49,2
24,50,2
24,51,9
24,52,10
24,53,12
24,54,31
24,55,20
24,62,1
24,63,2
24,64,3
24,65,3
24,66,5
24,72,1
24,76,1
25,22,1
25,23,1
25,24,7
25,25,113
25,26,93
25,27,1151
25,28,3329
25,30,9
25,31,17
25,32,46
25,33,193
25,34,238
25,35,1240
25,36,2359
25,37,1
25,38,1
25,39,3
25,40,6
25,41,27
25,42,58
25,43,76
25,44,284
25,45,299
25,48,4
25,49,5
25,50,7
25,51,14
25,52,33
25,53,37
25,54,76
25,55,54
25,58,1
25,59,1
25,60,2
25,61,2
25,62,8
25,63,13
25,64,7
25,65,13
25,66,4
25,67,1
25,72,1
25,74,1
25,76,2
25,77,2
25,88,1
26,22,2
26,25,40
26,26,31
26,27,467
26,28,1219
26,29,3
26,30,22
26,31,26
26,32,52
26,33,381
26,34,430
26,35,2407
26,36,3977
26,37,3
26,38,6
26,39,14
26,40,39
26,41,43
26,42,147
26,43,166
26,44,642
26,45,692
26,47,3
26,48,4
26,49,9
26,50,11
26,51,21
26,52,49
26,53,73
26,54,142
26,55,102
26,58,5
26,59,6
26,60,5
26,61,7
26,62,10
26,63,14
26,64,17
26,65,21
26,66,15
26,71,2
26,72,2
26,74,1
26,75,2
26,76,2
26,77,3
26,78,2
26,84,1
26,85,1
27,22,1
27,25,4
27,26,1
27,27,29
27,28,89
27,29,2
27,30,37
27,31,32
27,32,86
27,33,497
27,34,542
27,35,3252
27,36,5540
27,37,6
27,38,12
27,39,23
27,40,42
27,41,101
27,42,274
27,43,322
27,44,1140
27,45,1189
27,46,1
27,47,5
27,48,6
27,49,15
27,50,17
27,51,59
27,52,110
27,53,147
27,54,304
27,55,219
27,56,1
27,57,1
27,58,10
27,59,9
27,60,7
27,61,14
27,62,29
27,63,43
27,64,53
27,65,68
27,66,21
27,71,7
27,72,4
27,73,8
27,74,8
27,75,8
27,76,8
27,77,9
27,81,2
27,83,1
27,87,1
27,90,1
27,102,1
28,28,3
28,29,1
28,30,31
28,31,37
28,32,93
28,33,659
28,34,706
28,35,4283
28,36,6869
28,37,12
28,38,17
28,39,64
28,40,73
28,41,152
28,42,468
28,43,593
28,44,2001
28,45,2041
28,46,4
28,47,21
28,48,19
28,49,29
28,50,45
28,51,90
28,52,175
28,53,265
28,54,493
28,55,341
28,56,2
28,57,1
28,58,7
28,59,15
28,60,13
28,61,34
28,62,50
28,63,74
28,64,94
28,65,118
28,66,58
28,68,3
28,70,2
28,71,5
28,72,8
28,73,13
28,74,13
28,75,17
28,76,19
28,77,19
28,78,2
28,79,1
28,80,1
28,85,4
28,86,3
28,87,3
28,88,3
28,89,1
29,29,3
29,30,26
29,31,34
29,32,96
29,33,619
29,34,645
29,35,3810
29,36,6366
29,37,19
29,38,20
29,39,82
29,40,148
29,41,261
29,42,840
29,43,1055
29,44,3382
29,45,3330
29,46,5
29,47,30
29,48,44
29,49,67
29,50,76
29,51,190
29,52,399
29,53,457
29,54,1034
29,55,703
29,56,4
29,57,2
29,58,19
29,59,27
29,60,43
29,61,59
29,62,108
29,63,145
29,64,180
29,65,260
29,66,105
29,67,3
29,68,7
29,69,2
29,70,13
29,71,18
29,72,19
29,73,25
29,74,37
29,75,41
29,76,44
29,77,48
29,78,13
29,79,1
29,80,1
29,81,3
29,83,4
29,84,5
29,85,9
29,86,5
29,87,8
29,88,4
29,89,11
29,90,3
29,93,1
29,95,1
29,96,1
29,99,1
29,100,1
29,102,1
29,107,1
30,28,1
30,30,23
30,31,27
30,32,50
30,33,460
30,34,459
30,35,2750
30,36,4432
30,37,32
30,38,33
30,39,124
30,40,209
30,41,385
30,42,1217
30,43,1487
30,44,4886
30,45,5008
30,46,10
30,47,42
30,48,76
30,49,116
30,50,162
30,51,340
30,52,681
30,53,801
30,54,1757
30,55,1179
30,56,9
30,57,12
30,58,46
30,59,52
30,60,88
30,61,101
30,62,183
30,63,294
30,64,325
30,65,455
30,66,177
30,67,7
30,68,11
30,69,11
30,70,17
30,71,31
30,72,38
30,73,41
30,74,82
30,75,86
30,76,81
30,77,92
30,78,20
30,79,5
30,80,3
30,81,6
30,82,4
30,83,6
30,84,14
30,85,7
30,86,10
30,87,9
30,88,22
30,89,18
30,90,5
30,91,1
30,93,1
30,95,2
30,96,1
30,97,3
30,99,1
30,100,2
30,101,2
30,102,1
31,28,1
31,30,11
31,31,9
31,32,24
31,33,200
31,34,201
31,35,1317
31,36,1901
31,37,44
31,38,37
31,39,172
31,40,260
31,41,507
31,42,1693
31,43,1944
31,44,6475
31,45,6633
31,46,11
31,47,84
31,48,90
31,49,258
31,50,256
31,51,578
31,52,1123
31,53,1320
31,54,2904
31,55,1915
31,56,25
31,57,16
31,58,63
31,59,99
31,60,142
31,61,170
31,62,375
31,63,491
31,64,600
31,65,831
31,66,392
31,67,13
31,68,13
31,69,13
31,70,49
31,71,65
31,72,105
31,73,88
31,74,156
31,75,205
31,76,182
