add_ds_card,mult_ds_card,count
3,3,17
6,6,93
7,10,19
9,9,2
9,10,251
9,14,1
9,15,1
10,9,7
10,10,343
10,15,4
11,14,1
11,15,9
11,21,4
12,15,87
12,20,1
12,21,6
13,14,19
13,15,253
13,19,1
13,20,3
13,21,12
14,12,1
14,14,82
14,15,1177
14,20,2
14,21,15
15,12,2
15,14,71
15,15,876
15,18,2
15,19,3
15,20,39
15,21,218
15,27,1
15,28,4
15,31,1
15,32,1
15,34,1
15,35,1
15,36,4
16,18,3
16,19,2
16,20,53
16,21,312
16,27,4
16,28,11
17,18,8
17,19,10
17,20,111
17,21,843
17,25,2
17,27,11
17,28,25
17,33,1
17,34,2
17,35,6
17,36,13
18,16,1
18,17,1
18,18,11
18,19,10
18,20,337
18,21,2081
18,25,1
18,26,2
18,27,24
18,28,108
18,32,1
18,33,2
18,35,12
18,36,13
19,18,21
19,19,12
19,20,382
19,21,2631
19,25,6
19,26,6
19,27,81
19,28,185
19,32,3
19,33,2
19,34,4
19,35,24
19,36,26
19,41,1
19,42,1
19,44,1
19,45,6
20,18,10
20,19,8
20,20,310
20,21,1662
20,25,17
20,26,19
20,27,197
20,28,650
20,32,1
20,33,7
20,34,8
20,35,39
20,36,65
20,42,2
20,43,1
20,44,3
20,45,6
20,50,1
20,53,1
20,54,5
20,55,1
21,18,3
21,19,1
21,20,26
21,21,137
21,22,2
21,24,3
21,25,26
21,26,30
21,27,422
21,28,1303
21,29,1
21,31,2
21,32,7
21,33,18
21,34,30
21,35,137
21,36,214
21,42,3
21,43,4
21,44,15
21,45,7
21,47,2
21,50,1
21,51,2
21,53,4
21,54,3
21,55,8
22,22,2
22,23,7
22,24,6
22,25,72
22,26,86
22,27,917
22,28,2637
22,30,1
22,31,2
22,32,6
22,33,29
22,34,29
22,35,142
22,36,263
22,41,1
22,42,13
22,43,8
22,44,27
22,45,30
22,47,1
22,50,2
22,51,2
22,52,2
22,53,1
22,54,3
22,55,3
23,22,4
23,23,3
23,24,5
23,25,113
23,26,102
23,27,1305
23,28,3991
23,30,2
23,31,2
23,32,18
23,33,56
23,34,73
23,35,456
23,36,844
23,38,2
23,39,1
23,40,2
23,41,7
23,42,11
23,43,16
23,44,71
23,45,70
23,47,1
23,48,2
23,49,1
23,50,2
23,51,8
23,52,3
23,53,15
23,54,20
23,55,12
23,65,2
23,66,1
23,67,1
23,71,1
23,74,1
23,75,1
23,77,1
24,22,4
24,23,4
24,24,7
24,25,142
24,26,156
24,27,1808
24,28,4894
24,29,1
24,30,6
24,31,12
24,32,22
24,33,105
24,34,123
24,35,605
24,36,1155
24,37,2
24,39,3
24,40,11
24,41,12
24,42,33
24,43,29
24,44,151
24,45,179
24,47,2
24,48,3
24,49,2
24,50,7
24,51,5
24,52,13
24,53,16
24,54,39
24,55,29
24,58,1
24,61,1
24,62,3
24,63,3
24,64,4
24,65,4
24,66,5
25,22,4
25,23,2
25,24,2
25,25,84
25,26,83
25,27,1179
25,28,3369
25,30,9
25,31,22
25,32,39
25,33,193
25,34,230
25,35,1316
25,36,2352
25,37,2
25,38,1
25,39,7
25,40,6
25,41,21
25,42,54
25,43,83
25,44,285
25,45,286
25,46,1
25,47,3
25,48,5
25,49,6
25,50,5
25,51,16
25,52,23
25,53,32
25,54,88
25,55,54
25,59,2
25,60,1
25,61,2
25,62,8
25,63,9
25,64,6
25,65,9
25,66,3
25,72,1
25,74,2
25,75,2
25,76,2
26,22,2
26,24,1
26,25,58
26,26,37
26,27,490
26,28,1342
26,29,1
26,30,18
26,31,30
26,32,51
26,33,394
26,34,432
26,35,2409
26,36,4047
26,37,3
26,38,2
26,39,16
26,40,20
26,41,44
26,42,141
26,43,159
26,44,549
26,45,592
26,47,3
26,48,4
26,49,8
26,50,13
26,51,22
26,52,51
26,53,68
26,54,151
26,55,100
26,56,1
26,57,2
26,59,1
26,60,2
26,61,5
26,62,9
26,63,20
26,64,14
26,65,17
26,66,7
26,71,1
26,72,1
26,73,2
26,74,3
26,75,1
26,76,7
26,77,2
26,78,2
27,25,4
27,26,3
27,27,33
27,28,96
27,29,4
27,30,38
27,31,46
27,32,82
27,33,496
27,34,541
27,35,3226
27,36,5669
27,37,7
27,38,8
27,39,19
27,40,53
27,41,71
27,42,279
27,43,338
27,44,1132
27,45,1145
27,46,3
27,47,13
27,48,8
27,49,18
27,50,23
27,51,56
27,52,129
27,53,150
27,54,346
27,55,243
27,56,1
27,57,3
27,58,3
27,59,5
27,60,10
27,61,21
27,62,23
27,63,38
27,64,55
27,65,67
27,66,36
27,67,2
27,68,2
27,70,3
27,72,5
27,73,5
27,74,9
