N,set_cardinality,add_ds_card,mult_ds_card,count
14,7,16,26,12
14,7,16,27,43
14,7,16,28,30
14,7,17,19,1
14,7,17,22,6
14,7,17,23,7
14,7,17,24,5
14,7,17,25,34
14,7,17,26,25
14,7,17,27,84
14,7,17,28,70
14,7,18,18,1
14,7,18,19,2
14,7,18,22,10
14,7,18,23,8
14,7,18,24,14
14,7,18,25,69
14,7,18,26,48
14,7,18,27,194
14,7,18,28,178
14,7,19,21,1
14,7,19,22,11
14,7,19,23,9
14,7,19,24,15
14,7,19,25,90
14,7,19,26,56
14,7,19,27,260
14,7,19,28,222
14,7,20,20,1
14,7,20,21,2
14,7,20,22,18
14,7,20,23,4
14,7,20,24,17
14,7,20,25,121
14,7,20,26,71
14,7,20,27,349
14,7,20,28,281
14,7,21,22,6
14,7,21,23,6
14,7,21,24,14
14,7,21,25,73
14,7,21,26,40
14,7,21,27,257
14,7,21,28,182
14,7,22,22,4
14,7,22,23,2
14,7,22,24,6
14,7,22,25,54
14,7,22,26,18
14,7,22,27,136
14,7,22,28,88
14,7,23,23,1
14,7,23,25,19
14,7,23,26,4
14,7,23,27,28
14,7,23,28,20
15,7,13,25,3
15,7,13,26,2
15,7,13,27,3
15,7,13,28,4
15,7,14,22,1
15,7,14,25,3
15,7,14,26,2
15,7,14,27,7
15,7,14,28,5
15,7,15,22,3
15,7,15,23,2
15,7,15,24,1
15,7,15,25,10
15,7,15,26,8
15,7,15,27,22
15,7,15,28,25
15,7,16,22,4
15,7,16,23,3
15,7,16,24,2
15,7,16,25,16
15,7,16,26,12
15,7,16,27,52
15,7,16,28,39
15,7,17,19,1
15,7,17,22,6
15,7,17,23,7
15,7,17,24,5
15,7,17,25,35
15,7,17,26,26
15,7,17,27,104
15,7,17,28,98
15,7,18,18,1
15,7,18,19,2
15,7,18,22,11
15,7,18,23,11
15,7,18,24,20
15,7,18,25,81
15,7,18,26,63
15,7,18,27,259
15,7,18,28,262
15,7,19,21,1
15,7,19,22,12
15,7,19,23,11
15,7,19,24,24
15,7,19,25,112
15,7,19,26,93
15,7,19,27,392
15,7,19,28,385
15,7,20,20,1
15,7,20,21,2
15,7,20,22,20
15,7,20,23,18
15,7,20,24,29
15,7,20,25,190
15,7,20,26,142
15,7,20,27,639
15,7,20,28,549
15,7,21,22,10
15,7,21,23,14
15,7,21,24,23
15,7,21,25,158
15,7,21,26,125
15,7,21,27,537
15,7,21,28,447
15,7,22,22,7
15,7,22,23,6
15,7,22,24,13
15,7,22,25,119
15,7,22,26,80
15,7,22,27,412
15,7,22,28,279
15,7,23,23,2
15,7,23,24,5
15,7,23,25,48
15,7,23,26,33
15,7,23,27,166
15,7,23,28,70
15,7,24,25,7
15,7,24,26,5
15,7,24,27,16
15,7,24,28,10
15,7,25,25,1
15,7,25,27,1
16,7,13,25,4
16,7,13,26,2
16,7,13,27,3
16,7,13,28,5
16,7,14,22,2
16,7,14,25,3
16,7,14,26,2
16,7,14,27,10
16,7,14,28,5
16,7,15,22,4
16,7,15,23,2
16,7,15,24,1
16,7,15,25,12
16,7,15,26,8
16,7,15,27,29
16,7,15,28,28
16,7,16,22,4
16,7,16,23,3
16,7,16,24,2
16,7,16,25,16
16,7,16,26,14
16,7,16,27,62
16,7,16,28,47
16,7,17,19,1
16,7,17,22,6
16,7,17,23,7
16,7,17,24,5
16,7,17,25,41
16,7,17,26,30
16,7,17,27,126
16,7,17,28,116
16,7,18,18,1
16,7,18,19,2
16,7,18,22,14
16,7,18,23,13
16,7,18,24,21
16,7,18,25,99
16,7,18,26,93
16,7,18,27,352
16,7,18,28,329
16,7,19,18,1
16,7,19,19,1
16,7,19,21,1
16,7,19,22,26
16,7,19,23,17
16,7,19,24,32
16,7,19,25,156
16,7,19,26,133
16,7,19,27,560
16,7,19,28,503
16,7,20,18,2
16,7,20,20,1
16,7,20,21,5
16,7,20,22,38
16,7,20,23,22
16,7,20,24,61
16,7,20,25,286
16,7,20,26,233
16,7,20,27,1001
16,7,20,28,887
16,7,21,19,1
16,7,21,20,1
16,7,21,21,3
16,7,21,22,27
16,7,21,23,19
16,7,21,24,66
16,7,21,25,301
16,7,21,26,265
16,7,21,27,990
16,7,21,28,827
16,7,22,18,1
16,7,22,19,1
16,7,22,20,2
16,7,22,21,4
16,7,22,22,31
16,7,22,23,11
16,7,22,24,59
16,7,22,25,259
16,7,22,26,238
16,7,22,27,897
16,7,22,28,661
16,7,23,18,1
16,7,23,21,2
16,7,23,22,24
16,7,23,23,3
16,7,23,24,23
16,7,23,25,122
16,7,23,26,140
16,7,23,27,461
16,7,23,28,272
16,7,24,22,8
16,7,24,24,12
16,7,24,25,24
16,7,24,26,40
16,7,24,27,77
16,7,24,28,65
16,7,25,22,1
16,7,25,25,1
16,7,25,26,3
16,7,25,27,4
16,7,25,28,3
17,7,13,25,4
17,7,13,26,2
17,7,13,27,3
17,7,13,28,7
17,7,14,22,2
17,7,14,25,3
17,7,14,26,2
17,7,14,27,10
17,7,14,28,9
17,7,15,22,4
17,7,15,23,2
17,7,15,24,1
17,7,15,25,12
17,7,15,26,8
17,7,15,27,35
17,7,15,28,40
17,7,16,22,4
17,7,16,23,3
17,7,16,24,2
17,7,16,25,17
17,7,16,26,14
17,7,16,27,72
17,7,16,28,64
17,7,17,19,1
17,7,17,22,6
17,7,17,23,7
17,7,17,24,5
17,7,17,25,43
17,7,17,26,30
17,7,17,27,141
17,7,17,28,157
17,7,18,18,1
17,7,18,19,2
17,7,18,22,14
17,7,18,23,13
17,7,18,24,21
17,7,18,25,102
17,7,18,26,97
17,7,18,27,404
17,7,18,28,504
17,7,19,18,1
17,7,19,19,1
17,7,19,21,1
17,7,19,22,26
17,7,19,23,17
17,7,19,24,32
17,7,19,25,161
17,7,19,26,142
17,7,19,27,670
17,7,19,28,821
17,7,20,18,2
17,7,20,20,1
17,7,20,21,5
17,7,20,22,41
17,7,20,23,22
17,7,20,24,63
17,7,20,25,323
17,7,20,26,275
17,7,20,27,1342
17,7,20,28,1636
17,7,21,19,1
17,7,21,20,1
17,7,21,21,3
17,7,21,22,29
17,7,21,23,21
17,7,21,24,68
17,7,21,25,362
17,7,21,26,327
17,7,21,27,1530
17,7,21,28,1894
17,7,22,18,1
17,7,22,19,1
17,7,22,20,2
17,7,22,21,4
17,7,22,22,36
17,7,22,23,15
17,7,22,24,65
17,7,22,25,369
17,7,22,26,322
17,7,22,27,1638
17,7,22,28,1833
17,7,23,18,1
17,7,23,21,2
17,7,23,22,30
17,7,23,23,5
17,7,23,24,31
17,7,23,25,227
17,7,23,26,225
17,7,23,27,1027
17,7,23,28,1019
17,7,24,22,14
17,7,24,24,18
17,7,24,25,68
17,7,24,26,91
17,7,24,27,305
17,7,24,28,316
17,7,25,22,4
17,7,25,24,2
17,7,25,25,10
17,7,25,26,14
17,7,25,27,42
17,7,25,28,23
17,7,26,27,1
17,7,26,28,1
18,7,13,25,4
18,7,13,26,3
18,7,13,27,3
18,7,13,28,8
18,7,14,22,2
18,7,14,25,4
18,7,14,26,3
18,7,14,27,10
18,7,14,28,11
18,7,15,22,5
18,7,15,23,4
18,7,15,24,1
18,7,15,25,12
18,7,15,26,10
18,7,15,27,42
18,7,15,28,46
18,7,16,22,5
18,7,16,23,3
18,7,16,24,3
18,7,16,25,20
18,7,16,26,15
18,7,16,27,84
18,7,16,28,74
18,7,17,19,2
18,7,17,22,6
18,7,17,23,7
18,7,17,24,8
18,7,17,25,52
18,7,17,26,31
18,7,17,27,165
18,7,17,28,177
18,7,18,18,1
18,7,18,19,2
18,7,18,22,14
18,7,18,23,20
18,7,18,24,24
18,7,18,25,124
18,7,18,26,121
18,7,18,27,497
18,7,18,28,613
18,7,19,18,1
18,7,19,19,1
18,7,19,21,1
18,7,19,22,30
18,7,19,23,20
18,7,19,24,40
18,7,19,25,185
18,7,19,26,214
18,7,19,27,845
18,7,19,28,1019
18,7,20,18,2
18,7,20,19,2
18,7,20,20,4
18,7,20,21,5
18,7,20,22,53
18,7,20,23,45
18,7,20,24,98
18,7,20,25,426
18,7,20,26,387
18,7,20,27,1861
18,7,20,28,2183
18,7,21,19,6
18,7,21,20,1
18,7,21,21,5
18,7,21,22,32
18,7,21,23,58
18,7,21,24,124
18,7,21,25,530
18,7,21,26,566
18,7,21,27,2378
18,7,21,28,2790
18,7,22,18,1
18,7,22,19,3
18,7,22,20,5
18,7,22,21,8
18,7,22,22,60
18,7,22,23,53
18,7,22,24,131
18,7,22,25,668
18,7,22,26,644
18,7,22,27,2835
18,7,22,28,3146
18,7,23,18,1
18,7,23,20,1
18,7,23,21,7
18,7,23,22,54
18,7,23,23,34
18,7,23,24,91
18,7,23,25,459
18,7,23,26,540
18,7,23,27,2129
18,7,23,28,2102
18,7,24,18,1
18,7,24,21,4
18,7,24,22,31
18,7,24,23,12
18,7,24,24,56
18,7,24,25,212
18,7,24,26,279
18,7,24,27,860
18,7,24,28,863
18,7,25,22,7
18,7,25,23,3
18,7,25,24,6
18,7,25,25,35
18,7,25,26,45
18,7,25,27,160
18,7,25,28,118
18,7,26,25,1
18,7,26,26,1
18,7,26,27,5
18,7,26,28,5
19,7,13,25,4
19,7,13,26,3
19,7,13,27,4
19,7,13,28,10
19,7,14,22,2
19,7,14,25,4
19,7,14,26,3
19,7,14,27,10
19,7,14,28,15
19,7,15,22,5
19,7,15,23,4
19,7,15,24,1
19,7,15,25,12
19,7,15,26,10
19,7,15,27,43
19,7,15,28,63
19,7,16,22,5
19,7,16,23,3
19,7,16,24,3
19,7,16,25,20
19,7,16,26,15
19,7,16,27,89
19,7,16,28,109
19,7,17,19,2
19,7,17,22,6
19,7,17,23,7
19,7,17,24,8
19,7,17,25,54
19,7,17,26,31
19,7,17,27,184
19,7,17,28,230
19,7,18,18,1
19,7,18,19,2
19,7,18,22,14
19,7,18,23,20
19,7,18,24,24
19,7,18,25,128
19,7,18,26,125
19,7,18,27,566
19,7,18,28,824
19,7,19,18,1
19,7,19,19,1
19,7,19,21,1
19,7,19,22,30
19,7,19,23,20
19,7,19,24,40
19,7,19,25,190
19,7,19,26,215
19,7,19,27,975
19,7,19,28,1450
19,7,20,18,2
19,7,20,19,2
19,7,20,20,4
19,7,20,21,5
19,7,20,22,55
19,7,20,23,46
19,7,20,24,99
19,7,20,25,458
19,7,20,26,438
19,7,20,27,2214
19,7,20,28,3263
19,7,21,19,6
19,7,21,20,1
19,7,21,21,5
19,7,21,22,35
19,7,21,23,60
19,7,21,24,125
19,7,21,25,588
19,7,21,26,647
19,7,21,27,3115
19,7,21,28,4786
19,7,22,18,1
19,7,22,19,3
19,7,22,20,5
19,7,22,21,8
19,7,22,22,64
19,7,22,23,60
19,7,22,24,140
19,7,22,25,805
19,7,22,26,790
19,7,22,27,4133
19,7,22,28,6203
19,7,23,18,1
19,7,23,20,1
19,7,23,21,7
19,7,23,22,60
19,7,23,23,40
19,7,23,24,103
19,7,23,25,633
19,7,23,26,699
19,7,23,27,3577
19,7,23,28,4928
19,7,24,18,1
19,7,24,21,4
19,7,24,22,41
19,7,24,23,16
19,7,24,24,74
19,7,24,25,373
19,7,24,26,435
19,7,24,27,1873
19,7,24,28,2487
19,7,25,22,13
19,7,25,23,4
19,7,25,24,14
19,7,25,25,86
19,7,25,26,111
19,7,25,27,467
19,7,25,28,524
19,7,26,22,1
19,7,26,25,6
19,7,26,26,4
19,7,26,27,27
19,7,26,28,26
20,7,13,25,4
20,7,13,26,4
20,7,13,27,5
20,7,13,28,11
20,7,14,22,2
20,7,14,25,5
20,7,14,26,3
20,7,14,27,11
20,7,14,28,17
20,7,15,22,6
20,7,15,23,4
20,7,15,24,2
20,7,15,25,14
20,7,15,26,13
20,7,15,27,48
20,7,15,28,69
20,7,16,22,7
20,7,16,23,4
20,7,16,24,4
20,7,16,25,26
20,7,16,26,16
20,7,16,27,102
20,7,16,28,125
20,7,17,19,2
20,7,17,22,8
20,7,17,23,8
20,7,17,24,9
20,7,17,25,60
20,7,17,26,37
20,7,17,27,202
20,7,17,28,270
20,7,18,18,1
20,7,18,19,2
20,7,18,22,16
20,7,18,23,21
20,7,18,24,29
20,7,18,25,145
20,7,18,26,143
20,7,18,27,663
20,7,18,28,998
20,7,19,18,1
20,7,19,19,1
20,7,19,21,1
20,7,19,22,31
20,7,19,23,23
20,7,19,24,43
20,7,19,25,214
20,7,19,26,271
20,7,19,27,1182
20,7,19,28,1771
20,7,20,18,2
20,7,20,19,2
20,7,20,20,4
20,7,20,21,5
20,7,20,22,61
20,7,20,23,54
20,7,20,24,114
20,7,20,25,566
20,7,20,26,550
20,7,20,27,2823
20,7,20,28,4131
20,7,21,19,6
20,7,21,20,1
20,7,21,21,5
20,7,21,22,51
20,7,21,23,78
20,7,21,24,176
20,7,21,25,792
20,7,21,26,887
20,7,21,27,4319
20,7,21,28,6411
20,7,22,18,1
20,7,22,19,3
20,7,22,20,5
20,7,22,21,8
20,7,22,22,94
20,7,22,23,84
20,7,22,24,215
20,7,22,25,1275
20,7,22,26,1230
20,7,22,27,6269
20,7,22,28,9212
20,7,23,18,2
20,7,23,19,1
20,7,23,20,1
20,7,23,21,7
20,7,23,22,92
20,7,23,23,67
20,7,23,24,191
20,7,23,25,1132
20,7,23,26,1208
20,7,23,27,6121
20,7,23,28,8320
20,7,24,18,3
20,7,24,20,1
20,7,24,21,4
20,7,24,22,73
20,7,24,23,32
20,7,24,24,147
20,7,24,25,761
20,7,24,26,834
20,7,24,27,3916
20,7,24,28,5039
20,7,25,20,1
20,7,25,21,1
20,7,25,22,33
20,7,25,23,9
20,7,25,24,40
20,7,25,25,252
20,7,25,26,271
20,7,25,27,1144
20,7,25,28,1459
20,7,26,22,2
20,7,26,24,1
20,7,26,25,22
20,7,26,26,25
20,7,26,27,111
20,7,26,28,109
21,7,13,25,5
21,7,13,26,4
21,7,13,27,5
21,7,13,28,13
21,7,14,22,2
21,7,14,25,5
21,7,14,26,3
21,7,14,27,11
21,7,14,28,21
21,7,15,22,6
21,7,15,23,4
21,7,15,24,2
21,7,15,25,14
21,7,15,26,13
21,7,15,27,49
21,7,15,28,86
21,7,16,22,7
