N,set_cardinality,add_ds_card,mult_ds_card,count
46,15,37,99,1079
46,15,37,100,1452
46,15,37,101,1291
46,15,37,102,1737
46,15,37,103,2491
46,15,37,104,2496
46,15,37,105,3317
46,15,37,106,3522
46,15,37,107,3959
46,15,37,108,4960
46,15,37,109,5323
46,15,37,110,6833
46,15,37,111,6746
46,15,37,112,9048
46,15,37,113,9370
46,15,37,114,11985
46,15,37,115,13308
46,15,37,116,16573
46,15,37,117,16050
46,15,37,118,16809
46,15,37,119,13691
46,15,37,120,4116
46,15,38,73,1
46,15,38,74,1
46,15,38,75,1
46,15,38,76,1
46,15,38,80,1
46,15,38,81,8
46,15,38,82,18
46,15,38,83,38
46,15,38,84,42
46,15,38,85,35
46,15,38,86,42
46,15,38,87,31
46,15,38,88,77
46,15,38,89,159
46,15,38,90,174
46,15,38,91,287
46,15,38,92,434
46,15,38,93,366
46,15,38,94,340
46,15,38,95,696
46,15,38,96,889
46,15,38,97,1114
46,15,38,98,1341
46,15,38,99,1656
46,15,38,100,2227
46,15,38,101,2398
46,15,38,102,2876
46,15,38,103,3869
46,15,38,104,4394
46,15,38,105,5448
46,15,38,106,6023
46,15,38,107,7121
46,15,38,108,9434
46,15,38,109,9645
46,15,38,110,12419
46,15,38,111,13518
46,15,38,112,17305
46,15,38,113,18446
46,15,38,114,22123
46,15,38,115,25907
46,15,38,116,31173
46,15,38,117,29393
46,15,38,118,31201
46,15,38,119,26226
46,15,38,120,8385
46,15,39,74,1
46,15,39,75,2
46,15,39,76,2
46,15,39,78,1
46,15,39,79,2
46,15,39,80,9
46,15,39,81,15
46,15,39,82,18
46,15,39,83,35
46,15,39,84,60
46,15,39,85,52
46,15,39,86,78
46,15,39,87,34
46,15,39,88,146
46,15,39,89,253
46,15,39,90,294
46,15,39,91,485
46,15,39,92,762
46,15,39,93,720
46,15,39,94,672
46,15,39,95,1256
46,15,39,96,1467
46,15,39,97,2161
46,15,39,98,2574
46,15,39,99,3291
46,15,39,100,4542
46,15,39,101,4618
46,15,39,102,5805
46,15,39,103,7763
46,15,39,104,8977
46,15,39,105,11380
46,15,39,106,12766
46,15,39,107,15351
46,15,39,108,19308
46,15,39,109,20644
46,15,39,110,27164
46,15,39,111,28818
46,15,39,112,37854
46,15,39,113,41500
46,15,39,114,48433
46,15,39,115,55880
46,15,39,116,68767
46,15,39,117,64733
46,15,39,118,67694
46,15,39,119,56128
46,15,39,120,18210
46,15,40,74,2
46,15,40,77,2
46,15,40,80,8
46,15,40,81,9
46,15,40,82,30
46,15,40,83,47
46,15,40,84,70
46,15,40,85,73
46,15,40,86,86
46,15,40,87,77
46,15,40,88,148
46,15,40,89,345
46,15,40,90,370
46,15,40,91,573
46,15,40,92,1079
46,15,40,93,1040
46,15,40,94,994
46,15,40,95,1880
