N,set_cardinality,add_ds_card,mult_ds_card,count
105,3,5,6,2704
105,3,6,5,106
105,3,6,6,184650
106,3,5,6,2756
106,3,6,5,106
106,3,6,6,190058
107,3,5,6,2809
107,3,6,5,106
107,3,6,6,195570
108,3,5,6,2862
108,3,6,5,111
108,3,6,6,201183
109,3,5,6,2916
109,3,6,5,111
109,3,6,6,206907
110,3,5,6,2970
110,3,6,5,111
110,3,6,6,212739
111,3,5,6,3025
111,3,6,5,111
111,3,6,6,218679
112,3,5,6,3080
112,3,6,5,114
112,3,6,6,224726
113,3,5,6,3136
113,3,6,5,114
113,3,6,6,230886
114,3,5,6,3192
114,3,6,5,114
114,3,6,6,237158
115,3,5,6,3249
115,3,6,5,114
115,3,6,6,243542
116,3,5,6,3306
116,3,6,5,115
116,3,6,6,250039
117,3,5,6,3364
117,3,6,5,117
117,3,6,6,256649
118,3,5,6,3422
118,3,6,5,117
118,3,6,6,263377
119,3,5,6,3481
119,3,6,5,117
119,3,6,6,270221
120,3,5,6,3540
120,3,6,5,118
120,3,6,6,277182
121,3,5,6,3600
121,3,6,5,128
121,3,6,6,284252
122,3,5,6,3660
122,3,6,5,128
122,3,6,6,291452
123,3,5,6,3721
123,3,6,5,128
123,3,6,6,298772
124,3,5,6,3782
124,3,6,5,129
124,3,6,6,306213
125,3,5,6,3844
125,3,6,5,133
125,3,6,6,313773
126,3,5,6,3906
126,3,6,5,135
126,3,6,6,321459
127,3,5,6,3969
127,3,6,5,135
127,3,6,6,329271
128,3,5,6,4032
128,3,6,5,142
128,3,6,6,337202
129,3,5,6,4096
129,3,6,5,142
129,3,6,6,345266
130,3,5,6,4160
130,3,6,5,142
130,3,6,6,353458
131,3,5,6,4225
131,3,6,5,142
131,3,6,6,361778
132,3,5,6,4290
132,3,6,5,143
132,3,6,6,370227
133,3,5,6,4356
133,3,6,5,143
133,3,6,6,378807
134,3,5,6,4422
134,3,6,5,143
134,3,6,6,387519
135,3,5,6,4489
135,3,6,5,145
135,3,6,6,396361
136,3,5,6,4556
136,3,6,5,146
136,3,6,6,405338
137,3,5,6,4624
137,3,6,5,146
137,3,6,6,414450
138,3,5,6,4692
138,3,6,5,146
138,3,6,6,423698
139,3,5,6,4761
139,3,6,5,146
139,3,6,6,433082
140,3,5,6,4830
140,3,6,5,147
140,3,6,6,442603
141,3,5,6,4900
141,3,6,5,147
141,3,6,6,452263
142,3,5,6,4970
142,3,6,5,147
142,3,6,6,462063
143,3,5,6,5041
143,3,6,5,147
143,3,6,6,472003
144,3,5,6,5112
144,3,6,5,158
144,3,6,6,482074
145,3,5,6,5184
145,3,6,5,158
145,3,6,6,492298
146,3,5,6,5256
146,3,6,5,158
146,3,6,6,502666
147,3,5,6,5329
147,3,6,5,164
147,3,6,6,513172
148,3,5,6,5402
148,3,6,5,165
148,3,6,6,523829
149,3,5,6,5476
149,3,6,5,165
149,3,6,6,534633
150,3,5,6,5550
150,3,6,5,169
150,3,6,6,545581
151,3,5,6,5625
151,3,6,5,169
151,3,6,6,556681
152,3,5,6,5700
152,3,6,5,170
152,3,6,6,567930
153,3,5,6,5776
153,3,6,5,172
153,3,6,6,579328
154,3,5,6,5852
154,3,6,5,172
154,3,6,6,590880
155,3,5,6,5929
155,3,6,5,172
155,3,6,6,602584
156,3,5,6,6006
156,3,6,5,173
156,3,6,6,614441
157,3,5,6,6084
157,3,6,5,173
157,3,6,6,626453
158,3,5,6,6162
158,3,6,5,173
158,3,6,6,638621
159,3,5,6,6241
159,3,6,5,173
159,3,6,6,650945
160,3,5,6,6320
160,3,6,5,176
160,3,6,6,663424
161,3,5,6,6400
161,3,6,5,176
161,3,6,6,676064
162,3,5,6,6480
162,3,6,5,184
162,3,6,6,688856
163,3,5,6,6561
163,3,6,5,184
163,3,6,6,701816
164,3,5,6,6642
164,3,6,5,185
164,3,6,6,714937
165,3,5,6,6724
165,3,6,5,185
165,3,6,6,728221
166,3,5,6,6806
166,3,6,5,185
166,3,6,6,741669
167,3,5,6,6889
167,3,6,5,185
167,3,6,6,755281
168,3,5,6,6972
168,3,6,5,186
168,3,6,6,769058
169,3,5,6,7056
169,3,6,5,198
169,3,6,6,782990
170,3,5,6,7140
170,3,6,5,198
170,3,6,6,797102
171,3,5,6,7225
171,3,6,5,200
171,3,6,6,811380
172,3,5,6,7310
172,3,6,5,201
172,3,6,6,825829
173,3,5,6,7396
173,3,6,5,201
173,3,6,6,840449
174,3,5,6,7482
174,3,6,5,201
174,3,6,6,855241
175,3,5,6,7569
175,3,6,5,205
175,3,6,6,870201
176,3,5,6,7656
176,3,6,5,208
176,3,6,6,885336
177,3,5,6,7744
177,3,6,5,208
177,3,6,6,900648
178,3,5,6,7832
178,3,6,5,208
178,3,6,6,916136
179,3,5,6,7921
179,3,6,5,208
179,3,6,6,931800
180,3,5,6,8010
180,3,6,5,213
180,3,6,6,947637
181,3,5,6,8100
181,3,6,5,213
181,3,6,6,963657
182,3,5,6,8190
182,3,6,5,213
182,3,6,6,979857
183,3,5,6,8281
183,3,6,5,213
183,3,6,6,996237
184,3,5,6,8372
184,3,6,5,214
184,3,6,6,1012798
185,3,5,6,8464
185,3,6,5,214
185,3,6,6,1029542
186,3,5,6,8556
186,3,6,5,214
186,3,6,6,1046470
187,3,5,6,8649
187,3,6,5,214
187,3,6,6,1063582
188,3,5,6,8742
188,3,6,5,215
188,3,6,6,1080879
189,3,5,6,8836
189,3,6,5,217
189,3,6,6,1098361
190,3,5,6,8930
190,3,6,5,217
190,3,6,6,1116033
191,3,5,6,9025
191,3,6,5,217
191,3,6,6,1133893
192,3,5,6,9120
192,3,6,5,224
192,3,6,6,1151936
193,3,5,6,9216
193,3,6,5,224
193,3,6,6,1170176
194,3,5,6,9312
194,3,6,5,224
194,3,6,6,1188608
195,3,5,6,9409
195,3,6,5,224
195,3,6,6,1207232
196,3,5,6,9506
196,3,6,5,237
196,3,6,6,1226037
197,3,5,6,9604
197,3,6,5,237
197,3,6,6,1245049
198,3,5,6,9702
198,3,6,5,239
198,3,6,6,1264255
199,3,5,6,9801
199,3,6,5,239
199,3,6,6,1283659
200,3,5,6,9900
200,3,6,5,248
200,3,6,6,1303252
